company,Sector
BADAN AMIL ZAKAT NASIONAL,Perdagangan
BADAN KESATUAN BANGSA DAN POLITIK KAB TASIKMALAYA,Perdagangan
BADAN PENANGGULANGAN BENCANA DAERAH KAB. CIREBON,Perdagangan
BADAN PENDAPATAN DAERAH,Perdagangan
BADAN PERENCANAAN PEMBANGUNAN DAERAH KOTA SUKABUMI,Perdagangan
DESA PILANGSARI KECAMATAN JATITUJUH KAB.MAJALENGKA,Perdagangan
DESA SANGIANG KECAMATAN BANJARAN KAB. MAJALENGKA,Perdagangan
DINAS FASILITAS PANGKALAN TNI ANGKATAN LAUT,Perdagangan
DINAS KESEHATAN KABUPATEN GARUT,Perdagangan
DINAS KESEHATAN KABUPATEN PURWAKARTA,Perdagangan
DINAS KESEHATAN KABUPATEN SUMEDANG,Perdagangan
DINAS KETAHANAN PANGAN KABUPATEN GARUT,Perdagangan
DINAS PEMBERDAYAAN MASYARAKAT DAN DESA KAB CIANJUR,Perdagangan
DINAS PEMBERDAYAAN MASYARAKAT DAN DESA KAB. GARUT,Perdagangan
DINAS PENDIDIKAN PROVINSI JAWA BARAT,Perdagangan
DINAS PENGENDALIAN PENDUDUK KELUARGA BERENCANA,Perdagangan
DINAS PERTANIAN KABUPATEN KARAWANG,Perdagangan
DINAS SOSIAL KABUPATEN KARAWANG,Perdagangan
DPC PARTAI DEMOKRAT KOTA BANDUNG,Perdagangan
DPC-FKDT KAB. SUMEDANG,Perdagangan
DPMD KABUPATEN GARUT,Perdagangan
DPMPT KABUPATEN GARUT,Perdagangan
FORUM POS KB KABUPATEN BANDUNG BARAT,Perdagangan
KANTOR DESA MEKARSARI KECAMATAN CIANJUR,Perdagangan
KANTOR DESA PAGELARAN KEC. PAGELARAN KAB. CIANJUR,Perdagangan
KANTOR DESA TANJUNGJAYA,Perdagangan
KANTOR DPD BKPRMI KAB. TASIKMALAYA,Perdagangan
KANTOR KECAMATAN CIANJUR,Perdagangan
KANTOR KECAMATAN PANGENAN KABUPATEN CIREBON,Perdagangan
KANTOR KECAMATAN WALED KABUPATEN CIREBON,Perdagangan
KANTOR KEPALA DESA LENGGAHJAYA,Perdagangan
KANTOR KEPALA DESA SETIAJAYA,Perdagangan
KANTOR KEPALA DESA SETIALAKSANA,Perdagangan
KANTOR KEPALA DESA SIMPANGAN,Perdagangan
KANTOR KEPALA DESA SUKAMAJU,Perdagangan
KANTOR KEPALA DESA SUKAMANTRI,Perdagangan
KANTOR KEPALA DESA SUKARAHAYU,Perdagangan
KANTOR KEPALA DESA SUKARAJA,Perdagangan
KANTOR NPCI KAB GARUT,Perdagangan
KANTOR PELAYANAN PERBENDAHARAAN NEGARA BOGOR,Perdagangan
KANTOR PEMERINTAH DESA CIKARANG,Perdagangan
KANTOR PEMERINTAH DESA NYALINDUNG,Perdagangan
KANTOR PP DAPM SUKAHENING,Perdagangan
KANTOR PWRI KABUPATEN CIANJUR,Perdagangan
KANTOR SEKRETARIAT DAERAH KABUPATEN CIANJUR,Perdagangan
KECAMATAN PAMULIHAN KABUPATEN SUMEDANG,Perdagangan
KORPS MABES TNI AL,Perdagangan
KPU KOTA TASIKMALAYA,Perdagangan
PEMDES PEDANGKAMULYAN,Perdagangan
PEMERINTAH DAERAH KABUPATEN CIANJUR,Perdagangan
PEMERINTAH DAERAH KABUPATEN PURWAKARTA,Perdagangan
PEMERINTAH DAERAH KABUPATEN SUBANG,Perdagangan
PEMERINTAH DAERAH KABUPATEN SUKABUMI,Perdagangan
PEMERINTAH DESA ASEM,Perdagangan
PEMERINTAH DESA BABAKAN,Perdagangan
PEMERINTAH DESA CENGKUANG,Perdagangan
PEMERINTAH DESA CIBULAN,Perdagangan
PEMERINTAH DESA CICANGKANGHILIR,Perdagangan
PEMERINTAH DESA CIKONDANG,Perdagangan
PEMERINTAH DESA GIRIMULYA,Perdagangan
PEMERINTAH DESA HURIP JAYA,Perdagangan
PEMERINTAH DESA JATIJAYA,Perdagangan
PEMERINTAH DESA KAGOK,Perdagangan
PEMERINTAH DESA KALISAPU,Perdagangan
PEMERINTAH DESA KARANG SATRIA,Perdagangan
PEMERINTAH DESA KENDAL,Perdagangan
PEMERINTAH DESA LAMBANG JAYA,Perdagangan
PEMERINTAH DESA LANGENSARI KAB SUKABUMI,Perdagangan
PEMERINTAH DESA MALAUSMA,Perdagangan
PEMERINTAH DESA MEKARMAJU,Perdagangan
PEMERINTAH DESA NAGARATENGAH,Perdagangan
PEMERINTAH DESA PANGULAH UTARA,Perdagangan
PEMERINTAH DESA PILANGSARI,Perdagangan
PEMERINTAH DESA SARIMULYA,Perdagangan
PEMERINTAH DESA SINDANGWANGI,Perdagangan
PEMERINTAH DESA SUKAMAHI,Perdagangan
PEMERINTAH DESA SUKAMAJU,Perdagangan
PEMERINTAH DESA SUKAMANTRI,Perdagangan
PEMERINTAH DESA SUKAMULYA,Perdagangan
PEMERINTAH DESA WANCIMEKAR,Perdagangan
PEMERINTAH DESA WARGASETRA,Perdagangan
PEMERINTAH KAB CIREBON,Perdagangan
PEMERINTAH KABUPATEN BANDUNG,Perdagangan
PEMERINTAH KABUPATEN BEKASI,Perdagangan
PEMERINTAH KABUPATEN CIANJUR,Perdagangan
PEMERINTAH KABUPATEN CIREBON,Perdagangan
PEMERINTAH KABUPATEN CIREBON DISPORA,Perdagangan
PEMERINTAH KABUPATEN PURWAKARTA,Perdagangan
PEMERINTAH KOTA BANDUNG,Perdagangan
PEMERINTAH KOTA CIREBON SETDA,Perdagangan
PEMERINTAH KOTA DEPOK,Perdagangan
PEMERINTAH KOTA SUKABUMI,Perdagangan
PEMERINTAH KOTA TASIKMALAYA,Perdagangan
SEKRETARIAT DAERAH KABUPATEN KARAWANG,Perdagangan
SEKRETARIAT DPRD KARAWANG,Perdagangan
CV 9 SQUARE,Perdagangan
CV MULTI BINTANG KREATIF,Perdagangan
CV. KREASI BUNDA,Perdagangan
CV.SHAMARA SEJAHTERA,Perdagangan
PT AMARYLLIS WIJAYA KUSUMA,Perdagangan
PT AYAM GORENG FATMAWATI INDONESIA,Perdagangan
PT BACH COFFEE INDONESIA,Perdagangan
PT BIRO PERJALANAN WISATA NEEKOI,Perdagangan
PT BOTRAM MAHKOTA PARAHYANGAN,Perdagangan
PT ELMINA SEVICE HAJJ,Perdagangan
PT GAJAH KEMBAR MAKMUR,Perdagangan
PT PUNCAK LEMBAH HIJAU,Perdagangan
PT PURI AVIA,Perdagangan
PT RANATA AIR NETWORK,Perdagangan
PT RASPARI MEGA STORE,Perdagangan
PT SAKURA PRIMA JAYA LESTARI,Perdagangan
PT SINAR NIAGA SEJAHTERA,Perdagangan
PT TUNAS RIZKI SEMESTA,Perdagangan
PT. ANGKASA PURA HOTEL,Perdagangan
PT. ARABIAN MITRA ABADI,Perdagangan
PT. ARRAYYAN AL MUBARAK,Perdagangan
PT. ASHYA JAYA INDUSTRI,Perdagangan
PT. BPW BUANA VIESTA JAYA CHRISTOUR,Perdagangan
PT. BRAJA MUSTIKA,Perdagangan
PT. CIREBON GRAHATAMA,Perdagangan
PT. COTTA TERRA PRIMA,Perdagangan
PT. DWI EKA LESTARI,Perdagangan
PT. EVALINDA BERKAH MANDIRI,Perdagangan
PT. GLOBAL BOGA SUKSES,Perdagangan
PT. GUNUNG TANGKUBAN PERAHU PERMAI,Perdagangan
PT. INDO OTHAIM INTERNASIONAL,Perdagangan
PT. LAVANAYA MADINAH TRAVEL,Perdagangan
PT. MAKANAN ASLI INDONESIA,Perdagangan
PT. MITRA KENCANA MANDIRI ENTERTAINMENT,Perdagangan
PT. PADANG GOLF BUKIT SENTUL,Perdagangan
PT. PANGAN SARANA NIAGA,Perdagangan
PT. PURI AVIA,Perdagangan
PT. PURI LAJU ABBA,Perdagangan
PT. RIZKY ABADI JAYA ANUGRAH,Perdagangan
PT. SINAR NIAGA SEJAHTERA,Perdagangan
PT. TAWAKAL SUMBER CAHAYA,Perdagangan
PT. TRIDAYA RESIK PERKASA,Perdagangan
PT. TUNAS BARU SURYA PERKASA,Perdagangan
CIPTA RUPA PERTAMA,Perdagangan
CV AMANDA,Perdagangan
CV BANGUN CITRA LESTARI,Perdagangan
CV BIRO TEKNIK SIEM S,Perdagangan
CV CAHAYA BUANA,Perdagangan
CV DHARMA MULYA SEJAHTERA,Perdagangan
CV DINAMIKA MULTINDO,Perdagangan
CV DUTA SETIA GARMEN,Perdagangan
CV GLOBALINDO PERKASA ENGINEERING,Perdagangan
CV GRAFIKA SENTOSA MANDIRI,Perdagangan
CV GRIYA ANNUR,Perdagangan
CV IMMANUEL KNITING,Perdagangan
CV INDONESIA JAYA,Perdagangan
CV JALA LANGKA SAKTI,Perdagangan
CV JAYA MANDIRI PLASTIK,Perdagangan
CV MANDIRI SEJAHTERA,Perdagangan
CV MEKAR SARI AGUNG SANTOSO,Perdagangan
CV MITRA JAYA,Perdagangan
CV PASKAL TRIJAYA FOOD,Perdagangan
CV PUDAK SCIENTIFIC,Perdagangan
CV PURI'S,Perdagangan
CV PUTERACO ENGINEERING,Perdagangan
CV RIDING STYLE INDONESIA,Perdagangan
CV SANDANG JAYA ABADI,Perdagangan
CV SINAR JAYA,Perdagangan
CV SINAR LAKSANA JAYA,Perdagangan
CV SUNGAI INDAH,Perdagangan
CV TINTIN,Perdagangan
CV TOGA NUSANTARA,Perdagangan
CV YRAMA WIDYA,Perdagangan
CV. ARICO JAYA,Perdagangan
CV. ARKANA SATYA ARDANA,Perdagangan
CV. BAHTERA AGUNG,Perdagangan
CV. BANGUN CITRA LESTARI,Perdagangan
CV. BASMALLAH FOOD,Perdagangan
CV. BOGA SAMITRA,Perdagangan
CV. BUANA MEKAR MAKMUR,Perdagangan
CV. DELIMA MANDIRI,Perdagangan
CV. FRINSA AGROLESTARI,Perdagangan
CV. GUNUNG JATI,Perdagangan
CV. HARAPAN MANDIRI,Perdagangan
CV. JAWARA KARSA AGUSTO,Perdagangan
CV. KELLY ANUGRAH MANDIRI,Perdagangan
CV. KEMASINDO CEMERLANG,Perdagangan
CV. KIMASA,Perdagangan
CV. LILING GRAND INDONESIA,Perdagangan
CV. MANDIRI CIPTA METALINDO,Perdagangan
CV. MITRA JAYA,Perdagangan
CV. PRIANGAN MANUNGGAL SEJAHTERA,Perdagangan
CV. PUDAK SCIENTIFIC,Perdagangan
CV. SARI LAUT,Perdagangan
CV. SINAR JAYA,Perdagangan
CV. SINGA MAS,Perdagangan
CV. SUKSES MAKMUR,Perdagangan
CV. TREESBEE,Perdagangan
CV. USAHA ABADI RASA,Perdagangan
PT  ADIGUNA EKA SENTRA,Perdagangan
PT A.W FABER- CASTELL INDONESIA,Perdagangan
PT AARTI JAYA VELVET INDUSTRI,Perdagangan
PT ADYAWINSA STAMPING INDUSTRIES,Perdagangan
PT AGRONESIA,Perdagangan
PT ANEKA PIRANTI INTIKARSA,Perdagangan
PT ARDA CIPTA KEMASINDO,Perdagangan
PT ARRA MANDIRI ENERGY,Perdagangan
PT ASIA JAYA FOOD,Perdagangan
PT BAGUS JAYA KAROSERI,Perdagangan
PT BANGUN BERKAT JAYA LESTARI,Perdagangan
PT BANGUN RASAGUNA LESTARI,Perdagangan
PT BATTLEXS ANUGERAH ABADI,Perdagangan
PT BENTARA KARYA MULIA,Perdagangan
PT BINABINTANG PRIANGAN,Perdagangan
PT BINTANG CIPTAPERKASA,Perdagangan
PT BINTANG TOEDJOE,Perdagangan
PT BIOCARE SEJAHTERA,Perdagangan
PT BRAGA TEXCHEM INDUSTRY,Perdagangan
PT BUDI MAKMUR PERKASA,Perdagangan
PT CAHAYA BENTENG MAS,Perdagangan
PT CAHAYA CIPTA MANDIRI,Perdagangan
PT CENTRAL TEXINDO,Perdagangan
PT CHINLI PLASTIC MATERIALS,Perdagangan
PT CHINLI PLASTIC MATERIALS INDONESIA,Perdagangan
PT CITRA ABADI TEKNIK INDONESIA,Perdagangan
PT CITRA BONANG,Perdagangan
PT CITRA MENARA MAS,Perdagangan
PT DAMAR DELAPAN UTAMA,Perdagangan
PT DHANAR MAS CONCERN,Perdagangan
PT DITRACO BANGUN SARANA INTERNASIONAL,Perdagangan
PT DUA PUTRA PERKASA PRATAMA,Perdagangan
PT DUTA KEMAS INDONESIA,Perdagangan
PT DWIHANDAL HADETRADA INDONESIA,Perdagangan
PT DYMATIC CHEMICALS INDONESIA,Perdagangan
PT EIGERINDO MULTI PRODUK INDUSTRI,Perdagangan
PT EKAMANT INDONESIA,Perdagangan
PT ELANGPERDANA TYRE INDUSTRY,Perdagangan
PT ERA WARNA MANDIRI,Perdagangan
PT FERINATEX JAYA,Perdagangan
PT GAPURA MANDIRI SEMESTA,Perdagangan
PT GARUDA GEMILANG INDONESIA,Perdagangan
PT GARUDAFOOD PUTRA PUTRI JAYA Tbk,Perdagangan
PT GHEWANTIKA KONSTRUKSI,Perdagangan
PT GIZI PANGAN UTAMA,Perdagangan
PT GLOBAL ASIA CHEMICALS,Perdagangan
PT GLOBAL DAIRI ALAMI,Perdagangan
PT GLOBAL SEJAHTERA KEMASINDO,Perdagangan
PT GLOBAL SOLUSI SEJAHTERA,Perdagangan
PT GRACIA JAYA MAKMUR,Perdagangan
PT GRAND TWINS ENGINEERING,Perdagangan
PT HANDAL ENJINIA INDONESIA,Perdagangan
PT HANJIN INSOLE INDONESIA,Perdagangan
PT HENDARSYAH SURYA PUTRA,Perdagangan
PT HIRA KARYA ABADI,Perdagangan
PT HYUNDAI MOBIL INDONESIA,Perdagangan
PT IMA MONTAZ TEKNINDO,Perdagangan
PT IMMORTAL COSMEDIKA INDONESIA,Perdagangan
PT INDIKA LOGISTIC & SUPPORT SERVICES,Perdagangan
PT INDO EVERGREEN AGRO BUSINESS COORPORATION,Perdagangan
PT INDONESIA BAKERY FAMILY,Perdagangan
PT INDRAPRASTHA TEKNIKA UTAMA,Perdagangan
PT INTI STEEL SEJAHTERA,Perdagangan
PT INTI WIJAYA MANDIRI,Perdagangan
PT INTILAUT SARIRASA INDONESIA,Perdagangan
PT ISPAT BUKIT BAJA,Perdagangan
PT JAKARTA KOMUNIKASI INDONESIA,Perdagangan
PT JAYA UTAMA PERKASA,Perdagangan
PT JOHAR MITRA UTAMA,Perdagangan
PT KAO INDONESIA,Perdagangan
PT KARABHA DIGDAYA,Perdagangan
PT KARTIKA FOOD INDUSTRY,Perdagangan
PT KIANDA PRATAMA ENERGY,Perdagangan
PT KILAT WAHANA JENGGALA,Perdagangan
PT KREASI INTINUSA MANDIRI,Perdagangan
PT KREASI MANDIRI PERKASA,Perdagangan
PT KUNCI SUKSES ABADI,Perdagangan
PT LAM JAGAR NATIO,Perdagangan
PT LESTARI MAHAPUTRA BUANA,Perdagangan
PT LINGGA MEKAR ENGINEERING,Perdagangan
PT LUSINDONAULI PUTRA MANDIRI,Perdagangan
PT MANDIRI CIPTA PERKASA UTAMA,Perdagangan
PT MANDIRI MEDIKA FARMA,Perdagangan
PT MANEKINDO MULTI KREASI,Perdagangan
PT MANEUNGTEUNG ANUGERAH MANDIRI,Perdagangan
PT MANUNGGAL SUMBER DAYA,Perdagangan
PT MATA ELANG STRATEGIC,Perdagangan
PT MATA PELANGI CHEMINDO,Perdagangan
PT MAX KREASI INDONESIA,Perdagangan
PT MEGA BANGUNAN INDAH,Perdagangan
PT MEGA KAPUAS DINAMIK,Perdagangan
PT MEGA UTAMA MEDICA,Perdagangan
PT MEGAH KAYU INDUSTRI,Perdagangan
PT MEI INDITHYA TALENTA,Perdagangan
PT MENARA GADING MULIA,Perdagangan
PT MILLENNIUM PHARMACON INTERNATIONAL TBK,Perdagangan
PT MITRA CHEMINDO UTAMA,Perdagangan
PT MOUNT SCOPUS INDONESIA,Perdagangan
PT MULTINDO TECHNOLOGY UTAMA,Perdagangan
PT NAIKI SEMESTA,Perdagangan
PT NID PRATAMA KARYA,Perdagangan
PT NUR CAHAYA LIMO,Perdagangan
PT OPTIMA SMARTINDO INDUSTRY,Perdagangan
PT ORIENT INDO CHEMORI,Perdagangan
PT PANCA BUANA ABADI,Perdagangan
PT PANFILA INDOSARI,Perdagangan
PT PASIFIK INDO PUSPITA,Perdagangan
PT PENGGUIN BIRU KUNING,Perdagangan
PT PERKASA PRIMARINDO,Perdagangan
PT PERMATA ABADI BERSAUDARA,Perdagangan
PT PRIMARASA CITRATAMA,Perdagangan
PT PUTRA DUA PERKASA,Perdagangan
PT REKAN DAYA PERKASA,Perdagangan
PT REVOLUTEK DANANJAYA MANDIRI,Perdagangan
PT ROHTO LABORATORIES INDONESIA,Perdagangan
PT RUDOLF CHEMICALS INDONESIA,Perdagangan
PT SARI ALAM SUKABUMI,Perdagangan
PT SARI DAYA PLASINDO,Perdagangan
PT SARI DUMAI OLEO,Perdagangan
PT SILIWANGI JAYA BAROKAH,Perdagangan
PT SINAR BENGAWAN MANDIRI,Perdagangan
